query,id,label
биоразлагаемая упаковка для продуктов,RU2836415C1_20250314,1
биоразлагаемая упаковка для продуктов,RU2640243C2_20171227,0
интерактивные платформы для онлайн-обучения,RU2634734C2_20171103,1
интерактивные платформы для онлайн-обучения,RU2647345C1_20180315,1
интерактивные платформы для онлайн-обучения,RU2761714C1_20211213,1
интерактивные платформы для онлайн-обучения,RU2675477C1_20181219,1
интерактивные платформы для онлайн-обучения,RU2812407C1_20240130,1
интерактивные платформы для онлайн-обучения,RU2755781C1_20210921,0
интерактивные платформы для онлайн-обучения,RU2516476C2_20140520,1
интерактивные платформы для онлайн-обучения,RU2703325C1_20191016,0
интерактивные платформы для онлайн-обучения,RU2672171C1_20181112,0
интерактивные платформы для онлайн-обучения,WO2019083392A1_20190502,0
умные датчики для мониторинга урожая,RU2789189C2_20230131,1
умные датчики для мониторинга урожая,RU2720936C2_20200514,1
умные датчики для мониторинга урожая,RU2775442C1_20220630,0
портативные диагностические приборы,RU2515209C2_20140510,0
портативные диагностические приборы,RU2578023C2_20160320,0
портативные диагностические приборы,RU111915U1_20111227,1
портативные диагностические приборы,RU2411925C1_20110220,1
портативные диагностические приборы,RU148306U1_20141127,1
портативные диагностические приборы,RU2254115C2_20050620,0
портативные диагностические приборы,RU144808U1_20140827,1
портативные диагностические приборы,EA0000037472B1_20210331,1
портативные диагностические приборы,RU2011133945A_20130220,1
портативные диагностические приборы,RU2568516C1_20151120,1
роботы для доставки товаров,RU2562087C2_20150910,0
роботы для доставки товаров,RU2747128C1_20210428,0
роботы для доставки товаров,RU2797605C1_20230607,1
роботы для доставки товаров,RU2787547C1_20230110,1
роботы для доставки товаров,WO2019182477A1_20190926,0
роботы для доставки товаров,RU2017133977A_20171123,0
роботы для доставки товаров,EA0000021959B1_20151030,0
роботы для доставки товаров,RU2787095C1_20221228,1
роботы для доставки товаров,RU2785231C1_20221205,0
роботы для доставки товаров,RU2810933C2_20240109,1
шифрование данных для облачных хранилищ,RU2656836C2_20180606,0
шифрование данных для облачных хранилищ,RU2624574C1_20170704,1
шифрование данных для облачных хранилищ,RU2707398C1_20191126,1
шифрование данных для облачных хранилищ,WO2019231348A1_20191205,1
шифрование данных для облачных хранилищ,RU2635269C1_20171109,1
шифрование данных для облачных хранилищ,RU2778635C1_20220822,1
шифрование данных для облачных хранилищ,RU2697961C1_20190821,0
шифрование данных для облачных хранилищ,RU2750554C2_20210629,1
шифрование данных для облачных хранилищ,RU2573762C1_20160127,0
шифрование данных для облачных хранилищ,RU2015127104A_20170112,1
теплоизоляция нового поколения,RU2010105898A_20110827,1
теплоизоляция нового поколения,RU2615090C2_20170403,1
теплоизоляция нового поколения,RU2645190C1_20180216,1
теплоизоляция нового поколения,RU2287435C2_20061120,0
теплоизоляция нового поколения,RU2579576C2_20160410,1
теплоизоляция нового поколения,RU173041U1_20170808,0
теплоизоляция нового поколения,RU2358836C1_20090620,0
теплоизоляция нового поколения,RU2664716C1_20180822,0
теплоизоляция нового поколения,RU2298480C1_20070510,0
теплоизоляция нового поколения,RU2664824C1_20180822,1
переработка пластиковых отходов,RU227600U1_20240726,1
переработка пластиковых отходов,RU217262U1_20230324,1
переработка пластиковых отходов,RU2781648C2_20221017,1
переработка пластиковых отходов,EA0000007627B1_20061229,1
переработка пластиковых отходов,RU94031558A1_19960610,1
переработка пластиковых отходов,RU2100091C1_19971227,1
переработка пластиковых отходов,RU2644876C1_20180214,0
переработка пластиковых отходов,RU2563670C1_20150920,0
переработка пластиковых отходов,RU2820694C1_20240607,0
переработка пластиковых отходов,RU171981U1_20170623,0
экологичные системы доставки товаров,RU2835043C1_20250221,0
экологичные системы доставки товаров,RU2785231C1_20221205,0
экологичные системы доставки товаров,WO2022010381A1_20220113,0
экологичные системы доставки товаров,RU2743800C1_20210226,0
экологичные системы доставки товаров,RU2759847C1_20211118,0
экологичные системы доставки товаров,RU2701413C2_20190926,1
экологичные системы доставки товаров,RU2749585C1_20210615,0
экологичные системы доставки товаров,RU2458492C2_20120810,0
экологичные системы доставки товаров,RU2625402C2_20170713,1
экологичные системы доставки товаров,RU2598717C2_20160927,0
