topic,query,id,label
Технологии для обработки отходов,переработка пластиковых отходов,RU217262U1_20230324,1
Технологии для обработки отходов,переработка пластиковых отходов,RU2781648C2_20221017,1
Технологии для обработки отходов,переработка пластиковых отходов,EA0000007627B1_20061229,1
Технологии для обработки отходов,переработка пластиковых отходов,RU94031558A1_19960610,1
Технологии для обработки отходов,переработка пластиковых отходов,RU2100091C1_19971227,1
Технологии для обработки отходов,переработка пластиковых отходов,RU2644876C1_20180214,0
Технологии для обработки отходов,переработка пластиковых отходов,RU2563670C1_20150920,0
Технологии для обработки отходов,переработка пластиковых отходов,RU2820694C1_20240607,0
Технологии для обработки отходов,переработка пластиковых отходов,RU171981U1_20170623,0
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2835043C1_20250221,0
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2785231C1_20221205,0
Инновационные способы транспортировки,экологичные системы доставки товаров,WO2022010381A1_20220113,0
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2743800C1_20210226,0
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2759847C1_20211118,0
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2701413C2_20190926,1
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2749585C1_20210615,0
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2458492C2_20120810,0
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2625402C2_20170713,1
Инновационные способы транспортировки,экологичные системы доставки товаров,RU2598717C2_20160927,0
